FuelType,Displacement,Mileage,BodyType,Cylinders
PETROL,600,23.6,HATCHBACK,2
PETROL,600,23.6,HATCHBACK,2
CNG,600,36,HATCHBACK,2
PETROL,600,21.9,HATCHBACK,2
PETROL,600,23.6,HATCHBACK,2
PETROL,600,21.9,HATCHBACK,2
PETROL,800,25.17,HATCHBACK,3
PETROL,800,25.17,HATCHBACK,3
PETROL,800,25.17,HATCHBACK,3
PETROL,800,25.17,HATCHBACK,3
PETROL,1000,22.5,HATCHBACK,3
PETROL,1000,23,HATCHBACK,3
PETROL,800,25.17,HATCHBACK,3
PETROL,800,25.17,HATCHBACK,3
PETROL,800,25.17,HATCHBACK,3
PETROL,800,25.17,HATCHBACK,3
PETROL,1000,23.01,HATCHBACK,3
PETROL,1000,23.01,HATCHBACK,3
PETROL,1000,24.04,HATCHBACK,3
PETROL,1000,24.04,HATCHBACK,3
PETROL,1000,23.01,HATCHBACK,3
PETROL,1000,23.01,HATCHBACK,3
PETROL,1000,23.01,HATCHBACK,3
PETROL,1000,24.04,HATCHBACK,3
PETROL,1200,15,MPV,4
PETROL,1200,15,MPV,4
PETROL,1200,15,MPV,4
CNG,1000,20,MPV,4
CNG,1000,20,MPV,4
PETROL,1000,24.07,HATCHBACK,3
PETROL,1000,24.07,HATCHBACK,3
PETROL,1000,24.07,HATCHBACK,3
PETROL,1000,24.07,HATCHBACK,3
CNG,1000,32.26,HATCHBACK,3
PETROL,1000,24.07,HATCHBACK,3
PETROL,1200,20.1,HATCHBACK,3
PETROL,1200,20.1,HATCHBACK,3
PETROL,1200,20.1,HATCHBACK,3
PETROL,1200,20.1,HATCHBACK,3
PETROL,1200,20.1,HATCHBACK,3
PETROL,1200,20.1,HATCHBACK,3
PETROL,1200,20.1,HATCHBACK,3
PETROL,1200,20.1,HATCHBACK,3
PETROL,1200,20.1,HATCHBACK,3
PETROL,1000,23.1,HATCHBACK,3
CNG,1000,31.76,HATCHBACK,3
PETROL,1100,20.3,HATCHBACK,4
PETROL,1100,20.3,HATCHBACK,4
CNG,1000,30.48,HATCHBACK,4
PETROL,1100,20.3,HATCHBACK,4
PETROL,1100,20.3,HATCHBACK,4
CNG,1000,30.48,HATCHBACK,4
PETROL,1100,20.3,HATCHBACK,4
PETROL,1100,20.3,HATCHBACK,4
PETROL,1200,23,HATCHBACK,3
PETROL,1200,23,HATCHBACK,3
PETROL,1200,23,HATCHBACK,3
PETROL,1200,23,HATCHBACK,3
PETROL,1200,23,HATCHBACK,3
PETROL,1200,24,HATCHBACK,3
PETROL,1200,24,HATCHBACK,3
PETROL,1200,24,HATCHBACK,3
PETROL,1000,23.1,HATCHBACK,3
PETROL,1000,23.1,HATCHBACK,3
PETROL,1000,23.1,HATCHBACK,3
PETROL,1000,23.1,HATCHBACK,3
PETROL,1000,23.1,HATCHBACK,3
PETROL,1000,23.1,HATCHBACK,3
PETROL,1000,23.1,HATCHBACK,3
PETROL,1000,23.1,HATCHBACK,3
PETROL,1200,20.89,HATCHBACK,4
PETROL,1200,20.89,HATCHBACK,4
PETROL,1200,20.89,HATCHBACK,4
PETROL,1200,20.89,HATCHBACK,4
PETROL,1200,20.89,HATCHBACK,4
PETROL,1200,20.89,HATCHBACK,4
PETROL,1200,20.89,HATCHBACK,4
PETROL,1000,20.5,MUV,3
PETROL,1000,20.5,MUV,3
PETROL,1000,20.5,MUV,3
PETROL,1000,20.5,MUV,3
PETROL,1200,16,SUV,4
DIESEL,1500,16,SUV,4
PETROL,1200,16,SUV,4
DIESEL,1500,16,SUV,4
DIESEL,1500,16,SUV,4
DIESEL,1200,23.7,SUV,4
PETROL,1200,18.16,HATCHBACK,4
PETROL,1200,18.16,HATCHBACK,4
DIESEL,1400,23.59,HATCHBACK,4
PETROL,1200,18.16,HATCHBACK,4
DIESEL,1400,23.59,HATCHBACK,4
DIESEL,1400,23.59,HATCHBACK,4
PETROL,1200,18.16,HATCHBACK,4
DIESEL,1400,23.59,HATCHBACK,4
PETROL,1200,18.16,HATCHBACK,4
DIESEL,1400,23.59,HATCHBACK,4
PETROL,1200,18.16,HATCHBACK,4
DIESEL,1400,23.59,HATCHBACK,4
PETROL,1200,18.16,HATCHBACK,4
DIESEL,1400,23.59,HATCHBACK,4
PETROL,1200,18.97,HATCHBACK,3
PETROL,1200,19.49,HATCHBACK,3
PETROL,1200,18.97,HATCHBACK,3
DIESEL,1200,22.95,HATCHBACK,4
DIESEL,1200,22.95,HATCHBACK,4
DIESEL,1200,22.95,HATCHBACK,4
DIESEL,1200,22.95,HATCHBACK,4
PETROL,1200,17.57,HATCHBACK,4
PETROL,1200,17.57,HATCHBACK,4
PETROL,1200,17.57,HATCHBACK,4
PETROL,1200,17.57,HATCHBACK,4
HYBRID,1200,25,SEDAN,4
PETROL,1200,15.7,SEDAN,4
HYBRID,1200,25,SEDAN,4
DIESEL,1200,20.14,SEDAN,4
DIESEL,1200,20,SEDAN,4
DIESEL,1200,28.4,SEDAN,4
PETROL,1200,22,SEDAN,4
CNG,1000,26.6,SEDAN,4
PETROL,1200,18.6,HATCHBACK,4
DIESEL,1400,22.54,HATCHBACK,4
PETROL,1200,18.6,HATCHBACK,4
DIESEL,1400,22.54,HATCHBACK,4
PETROL,1200,18.6,HATCHBACK,4
DIESEL,1400,22.54,HATCHBACK,4
PETROL,1200,18.15,HATCHBACK,4
DIESEL,1400,22.54,HATCHBACK,4
PETROL,1200,18.6,HATCHBACK,4
PETROL,1200,18.6,HATCHBACK,4
PETROL,1200,18.6,HATCHBACK,4
DIESEL,1400,22.54,HATCHBACK,4
PETROL,1200,20.5,SEDAN,4
PETROL,1200,20.5,SEDAN,4
PETROL,1200,20.1,SEDAN,4
PETROL,1200,20.5,SEDAN,4
PETROL,1200,20.1,SEDAN,4
PETROL,1200,20.5,SEDAN,4
HYBRID,1200,20.5,SEDAN,4
PETROL,1000,20.5,SEDAN,4
DIESEL,1200,25.35,SEDAN,4
DIESEL,1200,20.4,SEDAN,4
DIESEL,1200,25.4,SEDAN,4
DIESEL,1200,25.35,SEDAN,4
PETROL,1000,18.78,HATCHBACK,3
PETROL,1000,18.78,HATCHBACK,3
PETROL,1000,18.78,HATCHBACK,3
DIESEL,1500,20.14,HATCHBACK,4
DIESEL,1500,20.14,HATCHBACK,4
DIESEL,1500,20.14,HATCHBACK,4
PETROL,1200,17.21,HATCHBACK,4
DIESEL,1500,19.91,HATCHBACK,4
PETROL,1200,22,SEDAN,4
PETROL,1200,22,SEDAN,4
DIESEL,1200,28.4,SEDAN,4
PETROL,1200,22,SEDAN,4
DIESEL,1200,28.4,SEDAN,4
PETROL,1200,22,SEDAN,4
DIESEL,1200,28.4,SEDAN,4
DIESEL,1200,28.4,SEDAN,4
PETROL,1200,22,SEDAN,4
PETROL,1200,22,SEDAN,4
PETROL,1200,22,SEDAN,4
DIESEL,1200,28.4,SEDAN,4
DIESEL,1200,28.4,SEDAN,4
DIESEL,1200,28.4,SEDAN,4
DIESEL,1500,24.4,CROSSOVER,4
DIESEL,1500,24.4,HATCHBACK,4
DIESEL,1500,24.4,HATCHBACK,4
PETROL,1200,19,HATCHBACK,3
PETROL,1200,19,HATCHBACK,3
PETROL,1200,19,HATCHBACK,3
PETROL,1200,19,CROSSOVER,3
DIESEL,1500,24.4,CROSSOVER,3
DIESEL,1500,21.66,SEDAN,4
DIESEL,1500,21.66,SEDAN,4
DIESEL,1500,21.73,SEDAN,4
DIESEL,1500,21.66,SEDAN,4
PETROL,1000,19,SEDAN,3
PETROL,1000,19,SEDAN,3
PETROL,1000,19,SEDAN,3
DIESEL,1500,21.73,SEDAN,4
PETROL,1200,20.4,SEDAN,4
PETROL,1200,20.4,SEDAN,4
PETROL,1200,20.4,SEDAN,4
DIESEL,1500,26.1,SEDAN,4
DIESEL,1500,26.1,SEDAN,4
DIESEL,1500,26.1,SEDAN,4
DIESEL,1500,26.1,SEDAN,4
DIESEL,1500,26.1,SEDAN,4
PETROL,1200,19.4,SEDAN,4
PETROL,1200,19.4,SEDAN,4
CNG,1000,20.4,SEDAN,4
PETROL,1200,19.4,SEDAN,4
DIESEL,1500,26.1,SEDAN,4
PETROL,1500,16.78,SEDAN,4
PETROL,1500,16.78,SEDAN,4
DIESEL,1400,23.59,SEDAN,4
DIESEL,1400,23.59,SEDAN,4
DIESEL,1400,23.59,SEDAN,4
PETROL,1500,16.78,SEDAN,4
PETROL,1500,16.78,SEDAN,4
DIESEL,1400,23.59,SEDAN,4
DIESEL,1400,23.59,SEDAN,4
PETROL,1500,16.78,SEDAN,4
PETROL,1500,16.78,HATCHBACK,4
PETROL,1200,17.71,HATCHBACK,4
DIESEL,1400,23.59,HATCHBACK,4
DIESEL,1400,23.59,HATCHBACK,4
PETROL,1200,17.71,HATCHBACK,4
DIESEL,1400,23.59,HATCHBACK,4
DIESEL,1500,20.08,HATCHBACK,4
DIESEL,1500,20.08,HATCHBACK,4
DIESEL,1500,20.08,HATCHBACK,4
DIESEL,1200,20,CROSSOVER,4
DIESEL,1200,20,CROSSOVER,4
PETROL,1400,17.1,CROSSOVER,4
DIESEL,1200,20,CROSSOVER,4
PETROL,1200,23.87,HATCHBACK,4
PETROL,1200,21.01,HATCHBACK,4
PETROL,1200,19.56,HATCHBACK,4
PETROL,1200,19.56,HATCHBACK,4
PETROL,1200,19.56,HATCHBACK,4
DIESEL,1200,20.5,CROSSOVER,4
DIESEL,1200,20.5,CROSSOVER,4
DIESEL,1200,20.5,CROSSOVER,4
PETROL,1200,18.2,HATCHBACK,4
PETROL,1200,19,HATCHBACK,4
PETROL,1200,18.2,HATCHBACK,4
PETROL,1200,19,HATCHBACK,4
DIESEL,1500,27.3,HATCHBACK,4
DIESEL,1500,27.3,HATCHBACK,4
DIESEL,1500,27.3,HATCHBACK,4
PETROL,1200,18.2,HATCHBACK,4
DIESEL,2000,16.3,SUV,4
DIESEL,2000,16.3,SUV,4
DIESEL,3000,13.8,SUV,4
DIESEL,3000,13.8,SUV,4
DIESEL,2200,12.35,SUV,4
DIESEL,2200,12.05,SUV,4
DIESEL,2000,17.06,SUV,4
DIESEL,2000,17.06,SUV,4
PETROL,2000,14.4,SUV,4
DIESEL,1600,19.5,SUV,4
DIESEL,1600,18.3,SUV,4
PETROL,1800,13.7,SEDAN,4
