FuelType,Displacement,Mileage,BodyType,Cylinders,Emission
PETROL,600,23.6,HATCHBACK,2,98.09
PETROL,600,23.6,HATCHBACK,2,98.09
CNG,600,36,HATCHBACK,2,76.39
PETROL,600,21.9,HATCHBACK,2,105.71
PETROL,600,23.6,HATCHBACK,2,98.09
PETROL,600,21.9,HATCHBACK,2,105.71
CNG,600,43,HATCHBACK,3,63.95
CNG,600,40,HATCHBACK,3,68.75
PETROL,800,25.17,HATCHBACK,3,91.97
PETROL,800,25.17,HATCHBACK,3,91.97
PETROL,800,25.17,HATCHBACK,3,91.97
PETROL,800,25.17,HATCHBACK,3,91.97
PETROL,800,25.17,HATCHBACK,3,91.97
PETROL,800,25.17,HATCHBACK,3,91.97
PETROL,800,25.17,HATCHBACK,3,91.97
PETROL,800,25.17,HATCHBACK,3,91.97
PETROL,800,22.05,HATCHBACK,3,104.99
PETROL,800,22.05,HATCHBACK,3,104.99
PETROL,800,22.05,HATCHBACK,3,104.99
PETROL,800,22.05,HATCHBACK,3,104.99
PETROL,800,22.05,HATCHBACK,3,104.99
HYBRID,800,22.05,HATCHBACK,3,99.77
HYBRID,800,22.05,HATCHBACK,3,99.77
PETROL,800,22.05,HATCHBACK,3,104.99
PETROL,800,16.8,CONVERTIBLE,3,137.8
PETROL,800,16.8,MPV,3,137.8
PETROL,800,23.7,COUPE,3,97.68
PETROL,800,24.7,HATCHBACK,3,93.72
CNG,800,38,HATCHBACK,3,72.37
PETROL,1000,22.5,HATCHBACK,3,102.89
PETROL,1000,23,HATCHBACK,3,100.65
PETROL,1000,23.01,HATCHBACK,3,100.61
PETROL,1000,23.01,HATCHBACK,3,100.61
PETROL,1000,24.04,HATCHBACK,3,96.3
PETROL,1000,24.04,HATCHBACK,3,96.3
PETROL,1000,23.01,HATCHBACK,3,100.61
PETROL,1000,23.01,HATCHBACK,3,100.61
PETROL,1000,23.01,HATCHBACK,3,100.61
PETROL,1000,24.04,HATCHBACK,3,96.3
PETROL,1000,24.07,HATCHBACK,3,96.18
PETROL,1000,24.07,HATCHBACK,3,96.18
PETROL,1000,24.07,HATCHBACK,3,96.18
PETROL,1000,24.07,HATCHBACK,3,96.18
CNG,1000,32.26,HATCHBACK,3,85.24
PETROL,1000,24.07,HATCHBACK,3,96.18
PETROL,1000,23.1,HATCHBACK,3,100.22
